id,Stars_name,Distance,Mass,Radius,luminosity
0,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
1,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
2,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
3,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
4,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
5,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
6,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
7,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
8,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
9,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
10,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
11,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
12,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
13,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
14,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
15,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
16,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
17,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
18,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
19,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
20,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
21,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
22,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
23,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
24,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
25,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
26,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
27,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
28,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
29,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
30,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
31,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
32,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
33,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
34,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
35,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
36,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
37,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
38,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
39,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
40,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
41,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
42,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
43,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
44,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
45,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
46,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
47,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
48,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
49,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
50,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
51,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
52,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
53,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
54,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
55,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
56,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
57,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
58,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
59,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
